則 測 0.894 側 0.894 財 0.750 敗 0.750 賊 0.671 損 0.671 慣 0.671 販 0.612 漬 0.612 債 0.612
撃 範 0.556 軍 0.544 量 0.504 輩 0.504 暫 0.503 薫 0.444 掌 0.444 挙 0.444 勲 0.422 茎 0.408
茂 蔵 0.816 感 0.612 歳 0.567 芽 0.354 芳 0.354 芋 0.354 薦 0.333 薪 0.302 葉 0.289 苗 0.289
誇 極 0.571 朽 0.567 詰 0.507 証 0.507 訂 0.507 汚 0.507 巧 0.507 論 0.463 誤 0.463 誌 0.463
随 髄 0.722 賄 0.617 惰 0.500 能 0.408 清 0.408 晴 0.408 情 0.408 婿 0.408 請 0.365 精 0.333
預 頂 0.894 順 0.717 貯 0.717 煩 0.717 頒 0.671 項 0.671 頼 0.632 領 0.632 傾 0.632 顧 0.600
抗 航 0.667 拠 0.667 投 0.667 搬 0.577 擁 0.516 接 0.471 坑 0.471 撤 0.436 肌 0.408 机 0.408
料 楼 0.750 数 0.671 隣 0.612 精 0.612 粗 0.612 粒 0.612 粋 0.612 粉 0.612 粘 0.567 継 0.500
洞 胴 0.800 渦 0.671 満 0.600 河 0.600 銅 0.566 滴 0.566 減 0.548 沿 0.516 沼 0.516 治 0.516
造 遠 0.772 週 0.772 老 0.667 周 0.667 達 0.617 逓 0.617 超 0.617 者 0.617 孝 0.617 圧 0.612
般 搬 0.866 航 0.667 没 0.667 投 0.667 設 0.577 殺 0.577 段 0.577 殴 0.516 役 0.516 殻 0.471
潜 扶 0.671 汁 0.632 漠 0.600 漢 0.596 渓 0.596 狭 0.548 潮 0.548 挟 0.548 峡 0.548 温 0.516
河 歌 0.800 何 0.800 詞 0.730 崎 0.730 嗣 0.730 伺 0.730 騎 0.676 飼 0.632 訂 0.600 洞 0.600
欲 浴 0.800 俗 0.800 溶 0.730 裕 0.676 吹 0.632 船 0.516 沿 0.516 鉛 0.474 飲 0.447 諮 0.447
侵 浸 0.750 仮 0.500 掃 0.447 役 0.447 帰 0.447 婦 0.447 殻 0.408 彼 0.408 儒 0.378 律 0.354
然 黙 0.478 太 0.436 祭 0.378 多 0.378 察 0.359 烈 0.338 夜 0.338 熟 0.267 崩 0.267 熱 0.228
吸 扱 0.750 級 0.567 訳 0.447 誘 0.408 認 0.408 詠 0.408 獄 0.408 就 0.378 氷 0.354 如 0.354
眺 兆 0.707 桃 0.500 挑 0.500 相 0.408 帽 0.408 阻 0.354 財 0.354 祖 0.354 眼 0.354 眠 0.354
稼 稚 0.612 移 0.612 科 0.612 秋 0.612 私 0.612 嫁 0.612 和 0.612 利 0.612 程 0.548 秘 0.548
談 語 0.667 詔 0.667 詐 0.667 訪 0.667 記 0.667 託 0.667 訓 0.667 討 0.667 計 0.667 信 0.667
反 返 0.866 皮 0.667 疲 0.577 度 0.471 迅 0.333 疫 0.333 灰 0.333 歴 0.333 暦 0.333 友 0.333
科 稚 0.750 移 0.750 秋 0.750 私 0.750 和 0.750 利 0.750 程 0.671 秘 0.671 秒 0.671 誘 0.612
筒 答 0.667 興 0.577 策 0.548 箇 0.463 等 0.463 管 0.433 筆 0.433 高 0.408 簡 0.408 篤 0.408
